,id,title,languages,publishers_raw,publication_types,mesh_headings,urls_raw,issns_print,issns_electronic,is_periodical,is_english,urls,publishers,url_roots,url_domains,issn_electronic,issn_print,urls_generated_guideline_pages_inc_404s,urls_generated_guideline_pages,include
0,9015384,20 century British history.,['eng'],"['Oxford University Press,']",['Periodical'],"['History', 'United Kingdom']",['https://academic.oup.com/tcbh'],['0955-2359'],['1477-4674'],True,True,['https://academic.oup.com/tcbh'],['Oxford University Press'],['academic.oup.com'],['oup.com'],1477-4674,0955-2359,['https://academic.oup.com/tcbh/pages/General_Instructions'],['https://academic.oup.com/tcbh/pages/General_Instructions'],True
1,101714112,A&A practice.,['eng'],"['Wolters Kluwer Health, Inc.,']",['Periodical'],['Anesthesiology'],['http://ovidsp.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&PAGE=toc&D=ovft&AN=02054229-000000000-00000'],[],['2575-3126'],True,True,[],"['Wolters Kluwer Health, Inc.']",[],[],2575-3126,,[],[],False
2,101269322,AACN advanced critical care.,['eng'],"['Lippincott Williams & Wilkins,', 'American Association of Critical-Care Nurses (AACN)']","['Nurses Instruction', 'Periodical']","['Critical Care', 'Nursing Care']",['https://aacnjournals.org/aacnacconline'],['1559-7768'],['1559-7776'],True,True,['https://aacnjournals.org/aacnacconline'],"['Lippincott Williams & Wilkins', 'American Association of Critical-Care Nurses (AACN)']",['aacnjournals.org'],['aacnjournals.org'],1559-7776,1559-7768,[],[],True
3,0431420,AANA journal.,['eng'],['American Association of Nurse Anesthetists'],['Periodical'],"['Anesthesiology', 'Nursing']",['https://www.aana.com/publications/aana-journal'],['0094-6354'],['2162-5239'],True,True,['https://www.aana.com/publications/aana-journal'],['American Association of Nurse Anesthetists'],['www.aana.com'],['aana.com'],2162-5239,0094-6354,[],[],True
4,101223209,The AAPS journal.,['eng'],"['American Association of Pharmaceutical Scientists,']",['Periodical'],"['Drug Therapy', 'Pharmaceutical Preparations', 'Technology, Pharmaceutical']","['https://link.springer.com/journal/12248', 'https://www.ncbi.nlm.nih.gov/pmc/journals/792/']",[],['1550-7416'],True,True,['https://link.springer.com/journal/12248'],['American Association of Pharmaceutical Scientists'],['link.springer.com'],['springer.com'],1550-7416,,['https://www.springer.com/journal/12248/submission-guidelines'],['https://www.springer.com/journal/12248/submission-guidelines'],True
5,100960111,AAPS PharmSciTech.,['eng'],"['American Association of Pharmaceutical Scientists,', 'Springer']",['Periodical'],"['Biopharmaceutics', 'Dosage Forms', 'Drug Design', 'Drug Evaluation', 'Pharmaceutical Preparations']","['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249', 'https://www.ncbi.nlm.nih.gov/pmc/journals/793/']",[],['1530-9932'],True,True,"['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249']","['American Association of Pharmaceutical Scientists', 'Springer']","['www.aapspharmscitech.org', 'link.springer.com']","['aapspharmscitech.org', 'springer.com']",1530-9932,,['https://www.springer.com/journal/12249/submission-guidelines'],['https://www.springer.com/journal/12249/submission-guidelines'],True
6,101674571,Abdominal radiology.,['eng'],"['Springer,']",['Periodical'],"['Abdomen', 'Diagnostic Imaging', 'Gastrointestinal Diseases \n                 diagnosis']",['https://link.springer.com/journal/261'],['2366-004X'],['2366-0058'],True,True,['https://link.springer.com/journal/261'],['Springer'],['link.springer.com'],['springer.com'],2366-0058,2366-004X,['https://www.springer.com/journal/261/submission-guidelines'],['https://www.springer.com/journal/261/submission-guidelines'],True
7,9418450,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine.,['eng'],"['Hanley & Belfus,', 'Wiley']",['Periodical'],['Emergency Medicine'],['http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712'],['1069-6563'],['1553-2712'],True,True,['http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712'],"['Hanley & Belfus', 'Wiley']",['onlinelibrary.wiley.com'],['wiley.com'],1553-2712,1069-6563,['https://onlinelibrary.wiley.com/page/journal/10.1111/(issn)1553-2712/homepage/forauthors.html'],['https://onlinelibrary.wiley.com/page/journal/10.1111/(issn)1553-2712/homepage/forauthors.html'],True
8,8904605,Academic medicine : journal of the Association of American Medical Colleges.,['eng'],"['Hanley & Belfus,', 'Published for the Association of American Medical Colleges by Lippincott Williams & Wilkins']",['Periodical'],"['Education, Medical']","['http://www.academicmedicine.org/', 'http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00001888-000000000-00000']",['1040-2446'],['1938-808X'],True,True,['http://www.academicmedicine.org/'],"['Hanley & Belfus', 'Published for the Association of American Medical Colleges by Lippincott Williams & Wilkins']",['www.academicmedicine.org'],['academicmedicine.org'],1938-808X,1040-2446,[],[],True
9,101499145,Academic pediatrics.,['eng'],['Elsevier'],['Periodical'],"['Ambulatory Care', 'Pediatrics']",['http://www.sciencedirect.com/science/journal/18762859'],['1876-2859'],['1876-2867'],True,True,['http://www.sciencedirect.com/science/journal/18762859'],['Elsevier'],['www.sciencedirect.com'],['sciencedirect.com'],1876-2867,1876-2859,['https://www.elsevier.com/journals/18762859/1876-2859/guide-for-authors'],['https://www.elsevier.com/journals/18762859/1876-2859/guide-for-authors'],True
10,8917200,Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry.,['eng'],"['American Psychiatric Press,', 'Springer']",['Periodical'],['Psychiatry \n                 education'],['https://link.springer.com/journal/volumesAndIssues/40596'],['1042-9670'],['1545-7230'],True,True,['https://link.springer.com/journal/volumesAndIssues/40596'],"['American Psychiatric Press', 'Springer']",['link.springer.com'],['springer.com'],1545-7230,1042-9670,[],[],True
11,9440159,Academic radiology.,['eng'],"['Association of University Radiologists,', 'Association Of University Radiologists']",['Periodical'],"['Radiography', 'Radiology']",['http://www.sciencedirect.com/science/journal/10766332'],['1076-6332'],['1878-4046'],True,True,['http://www.sciencedirect.com/science/journal/10766332'],"['Association of University Radiologists', 'Association Of University Radiologists']",['www.sciencedirect.com'],['sciencedirect.com'],1878-4046,1076-6332,['https://www.elsevier.com/journals/10766332/1076-6332/guide-for-authors'],['https://www.elsevier.com/journals/10766332/1076-6332/guide-for-authors'],True
12,1254476,Accident; analysis and prevention.,['eng'],"['Pergamon Press]', 'Pergamon Press']",['Periodical'],"['Accidents, Traffic \n                 prevention & control']",['http://www.sciencedirect.com/science/journal/00014575'],['0001-4575'],['1879-2057'],True,True,['http://www.sciencedirect.com/science/journal/00014575'],"['Pergamon Press]', 'Pergamon Press']",['www.sciencedirect.com'],['sciencedirect.com'],1879-2057,0001-4575,['https://www.elsevier.com/journals/00014575/0001-4575/guide-for-authors'],['https://www.elsevier.com/journals/00014575/0001-4575/guide-for-authors'],True
13,9100813,Accountability in research.,['eng'],"['Gordon and Breach,', 'Informa Healthcare']",['Periodical'],"['Ethics', 'Program Evaluation', 'Research \n                 standards']",['http://www.tandfonline.com/loi/gacr20'],['0898-9621'],['1545-5815'],True,True,['http://www.tandfonline.com/loi/gacr20'],"['Gordon and Breach', 'Informa Healthcare']",['www.tandfonline.com'],['tandfonline.com'],1545-5815,0898-9621,['https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gacr20'],['https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=gacr20'],True
14,0157313,Accounts of chemical research.,['eng'],['American Chemical Society.'],['Periodical'],"['Chemistry', 'Research']",['http://pubs.acs.org/journals/achre4/index.html'],['0001-4842'],['1520-4898'],True,True,['http://pubs.acs.org/journals/achre4/index.html'],['American Chemical Society.'],['pubs.acs.org'],['acs.org'],1520-4898,0001-4842,[],[],True
15,101504991,ACS applied materials & interfaces.,['eng'],['American Chemical Society'],['Periodical'],"['Biocompatible Materials', 'Chemical Phenomena']",['http://pubs.acs.org/loi/aamick'],['1944-8244'],['1944-8252'],True,True,['http://pubs.acs.org/loi/aamick'],['American Chemical Society'],['pubs.acs.org'],['acs.org'],1944-8252,1944-8244,[],[],True
16,101654670,ACS biomaterials science & engineering.,['eng'],"['American Chemical Society,']",['Periodical'],"['Biocompatible Materials', 'Bioengineering']",['http://pubs.acs.org/journal/abseba'],[],['2373-9878'],True,True,['http://pubs.acs.org/journal/abseba'],['American Chemical Society'],['pubs.acs.org'],['acs.org'],2373-9878,,['https://pubs.acs.org/page/abseba/submission/authors.html'],['https://pubs.acs.org/page/abseba/submission/authors.html'],True
17,101282906,ACS chemical biology.,['eng'],"['American Chemical Society,']",['Periodical'],"['Biochemistry', 'Biology']",['http://pubs.acs.org/journals/acbcct/index.html'],['1554-8929'],['1554-8937'],True,True,['http://pubs.acs.org/journals/acbcct/index.html'],['American Chemical Society'],['pubs.acs.org'],['acs.org'],1554-8937,1554-8929,[],[],True
18,101525337,ACS chemical neuroscience.,['eng'],['American Chemical Society'],['Periodical'],"['Nervous System \n                 chemistry', 'Neurosciences']","['https://www.ncbi.nlm.nih.gov/pmc/journals/1791/', 'http://pubs.acs.org/journal/acncdm']",[],['1948-7193'],True,True,['http://pubs.acs.org/journal/acncdm'],['American Chemical Society'],['pubs.acs.org'],['acs.org'],1948-7193,,['https://pubs.acs.org/page/acncdm/submission/authors.html'],['https://pubs.acs.org/page/acncdm/submission/authors.html'],True
19,101540531,ACS combinatorial science.,['eng'],['American Chemical Society'],['Periodical'],"['Chemistry, Pharmaceutical', 'Combinatorial Chemistry Techniques', 'Drug Discovery', 'Pharmaceutical Preparations \n                 chemical synthesis']",['http://pubs.acs.org/loi/jcchff'],['2156-8952'],['2156-8944'],True,True,['http://pubs.acs.org/loi/jcchff'],['American Chemical Society'],['pubs.acs.org'],['acs.org'],2156-8944,2156-8952,[],[],True
20,101654580,ACS infectious diseases.,['eng'],"['ACS Publications,']",['Periodical'],['Communicable Diseases'],['http://pubs.acs.org/journal/aidcbc'],[],['2373-8227'],True,True,['http://pubs.acs.org/journal/aidcbc'],['ACS Publications'],['pubs.acs.org'],['acs.org'],2373-8227,,['https://pubs.acs.org/page/aidcbc/submission/authors.html'],['https://pubs.acs.org/page/aidcbc/submission/authors.html'],True
21,101313589,ACS nano.,['eng'],['American Chemical Society'],['Periodical'],['Nanotechnology'],['http://pubs.acs.org/journals/ancac3/index.html'],['1936-0851'],['1936-086X'],True,True,['http://pubs.acs.org/journals/ancac3/index.html'],['American Chemical Society'],['pubs.acs.org'],['acs.org'],1936-086X,1936-0851,[],[],True
22,101669031,ACS sensors.,['eng'],"['American Chemical Society,']",['Periodical'],['Biosensing Techniques'],['http://pubs.acs.org/journal/ascefj'],[],['2379-3694'],True,True,['http://pubs.acs.org/journal/ascefj'],['American Chemical Society'],['pubs.acs.org'],['acs.org'],2379-3694,,['https://pubs.acs.org/page/ascefj/submission/authors.html'],['https://pubs.acs.org/page/ascefj/submission/authors.html'],True
23,101575075,ACS synthetic biology.,['eng'],"['American Chemical Society,']",['Periodical'],"['Genetic Engineering', 'Synthetic Biology']",['http://pubs.acs.org/journal/asbcd6'],[],['2161-5063'],True,True,['http://pubs.acs.org/journal/asbcd6'],['American Chemical Society'],['pubs.acs.org'],['acs.org'],2161-5063,,['https://pubs.acs.org/page/asbcd6/submission/authors.html'],['https://pubs.acs.org/page/asbcd6/submission/authors.html'],True
