url,id,status,link_text,char_count,word_count,origin,cheers_matches,entreq_matches,moose_matches,cherries_matches,arrive_matches,arrive_domain_matches,care_matches,care_domain_matches,prisma_matches,coreq_matches,consort_matches,consort_domain_matches,agree_matches,agree_domain_matches,EQUATOR_matches,EQUATOR_domain_domain_matches,ICMJE_matches,EQUATOR_domain_domain_matches,section_matches,manuscript_matches,table_matches,words_matches
https://www.elsevier.com/journals/15709639/1570-9639/guide-for-authors,101731734,[200],,[55748],[8504],,,,,,['ARRIVE'],,,,,,,,,,,['http://www.icmje.org/recommendations/'],,['http://www.icmje.org/recommendations/'],"['section', 'section', 'sections', 'section', 'sections', 'sections', 'section', 'section', 'section', 'section', 'section', 'section']","['manuscripts', 'Manuscripts', 'manuscript', 'manuscripts', 'Manuscripts', 'Manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscripts', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'Manuscript']","['Tables', 'Tables', 'table', 'tables', 'tables', 'Tables', 'tables', 'tables', 'table', 'tables', 'Table', 'tables', 'Tables', 'tables', 'Tables', 'tables', 'table', 'table', 'tables', 'table', 'table', 'tables', 'tables', 'tables']","['words', 'words', 'words', 'words', 'words', 'words', 'words', 'words']"
https://www.elsevier.com/journals/15508307/1550-8307/guide-for-authors,101233160,[200],,[49416],[7479],,,,,,['ARRIVE'],,['CARE'],['http://www.care-statement.org/care-checklist.html'],,,"['CONSORT', 'consort']",,,,,['http://www.icmje.org/recommendations/'],,['http://www.icmje.org/recommendations/'],"['section', 'section', 'section', 'sections', 'section', 'sections', 'sections', 'section', 'section', 'section', 'section']","['manuscript', 'Manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscripts', 'manuscript', 'Manuscripts', 'Manuscripts', 'Manuscript', 'Manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscripts', 'manuscripts', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript']","['Tables', 'tables', 'tables', 'table', 'tables', 'Tables', 'tables', 'tables', 'table', 'tables', 'tables', 'Table', 'tables', 'tables', 'Tables', 'tables', 'Tables', 'tables', 'table', 'table', 'tables', 'table', 'table', 'tables']","['words', 'words', 'words', 'words', 'words', 'words', 'words', 'words']"
https://journals.sagepub.com/author-instructions/ppj,101271023,[200],,[27697],[4224],,,,,,,,,,"['PRISMA', 'PRISMA']",,"['CONSORT', 'CONSORT']",['http://www.consort-statement.org/downloads'],,,"['EQUATOR Network', 'EQUATOR']","['http://www.equator-network.org/', 'http://www.equator-network.org/reporting-guidelines/prisma/', 'http://www.icmje.org/icmje-recommendations.pdf', 'http://www.icmje.org/recommendations/browse/roles-and-responsibilities/defining-the-role-of-authors-and-contributors.html', 'http://www.icmje.org/recommendations/browse/roles-and-responsibilities/author-responsibilities--conflicts-of-interest.html#two', 'http://www.icmje.org/icmje-recommendations.pdf', 'http://www.icmje.org/recommendations/browse/roles-and-responsibilities/protection-of-research-participants.html']","['International Committee of Medical Journal Editors', 'ICMJE', 'International Committee of Medical Journal Editors', 'ICMJE', 'ICMJE', 'ICMJE', 'ICMJE']","['http://www.equator-network.org/', 'http://www.equator-network.org/reporting-guidelines/prisma/', 'http://www.icmje.org/icmje-recommendations.pdf', 'http://www.icmje.org/recommendations/browse/roles-and-responsibilities/defining-the-role-of-authors-and-contributors.html', 'http://www.icmje.org/recommendations/browse/roles-and-responsibilities/author-responsibilities--conflicts-of-interest.html#two', 'http://www.icmje.org/icmje-recommendations.pdf', 'http://www.icmje.org/recommendations/browse/roles-and-responsibilities/protection-of-research-participants.html']","['section', 'section', 'section', 'section', 'section', 'section']","['Manuscript', 'Manuscripts', 'Manuscripts', 'Manuscript', 'Manuscripts', 'manuscript', 'manuscript', 'manuscripts', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscripts', 'manuscript', 'manuscript']","['Tables', 'tables', 'tables', 'tables', 'Tables', 'table', 'tables', 'Table', 'table']","['words', 'words', 'words', 'words', 'words', 'words']"
https://www.cambridge.org/core/journals/visual-neuroscience/information/instructions-contributors,8809466,[200],,[16502],[2454],,,,,,,,,,,,,,,,,,,,"['section', 'section', 'sections', 'section', 'section']","['manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'Manuscript', 'manuscript', 'manuscripts', 'manuscript', 'Manuscript', 'Manuscripts', 'manuscript', 'Manuscripts', 'Manuscripts', 'manuscripts', 'Manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript']","['tables', 'tables', 'tables', 'tables', 'Tables', 'Tables', 'tables', 'table', 'tables']","['words', 'words']"
https://www.eurekaselect.com/node/613/central-nervous-system-agents-medicinal-chemistry/ifa,101269163,[200],,[82938],[12262],,"['CHEERS', 'CHEERS']",,"['MOOSE', 'MOOSE']",,['ARRIVE'],,"['CARE', 'CARE', 'CARE', 'CARE']","['http://www.care-statement.org/', 'http://www.care-statement.org/resources/checklist', 'http://www.care-statement.org/']","['PRISMA', 'prisma', 'PRISMA', 'prisma', 'PRISMA', 'PRISMA', 'prisma']","['COREQ', 'COREQ']","['CONSORT', 'consort', 'CONSORT', 'consort', 'CONSORT', 'CONSORT', 'consort']","['http://www.consort-statement.org/', 'http://www.consort-statement.org', 'http://www.consort-statement.org/']",,,"['equator-network', 'EQUATOR', 'equator-network']","['http://www.equator-network.org', 'http://www.equator-network.org/', 'http://www.icmje.org', 'http://www.icmje.org']","['International Committee of Medical Journal Editors', 'icmje', 'International Committee of Medical Journal Editors', 'icmje']","['http://www.equator-network.org', 'http://www.equator-network.org/', 'http://www.icmje.org', 'http://www.icmje.org']","['section', 'section', 'SECTIONS', 'sections', 'sections', 'sections', 'sections', 'SECTION', 'Section', 'section', 'section', 'section', 'Section', 'section', 'Section', 'Section', 'section', 'sections', 'Section', 'Sections', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'sections', 'sections', 'sections']","['Manuscript', 'Manuscripts', 'MANUSCRIPT', 'MANUSCRIPTS', 'MANUSCRIPT', 'MANUSCRIPT', 'manuscripts', 'Manuscripts', 'Manuscript', 'manuscript', 'Manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscripts', 'manuscript', 'MANUSCRIPTS', 'manuscripts', 'MANUSCRIPT', 'manuscript', 'MANUSCRIPT', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'MANUSCRIPTS', 'Manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'Manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'Manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscripts', 'manuscripts', 'manuscripts', 'manuscript', 'Manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscripts', 'manuscript', 'manuscripts', 'manuscript', 'manuscripts', 'manuscript', 'manuscripts', 'manuscripts', 'manuscript', 'manuscript', 'Manuscripts', 'manuscripts', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript']","['Table', 'Table', 'TABLES', 'table', 'tables', 'tables', 'tables', 'tables', 'tables', 'tables', 'tables', 'tables', 'tables', 'tables', 'tables', 'tables', 'Tables', 'Table', 'table', 'TABLES', 'Tables', 'Tables', 'table', 'table', 'table', 'Table', 'Table', 'Tables', 'Tables', 'table', 'table', 'Tables', 'table', 'table']","['words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words']"
https://www.elsevier.com/journals/biochemical-pharmacology/0006-2952/guide-for-authors,0101032,[200],,[34373],[4840],,,,,,,,,,,,,,,,,,,,"['section', 'section', 'sections', 'sections', 'section', 'section', 'section']","['manuscripts', 'manuscript', 'Manuscripts', 'Manuscript', 'Manuscripts', 'Manuscript', 'manuscript', 'Manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscripts', 'manuscripts', 'manuscript', 'Manuscript', 'manuscript', 'Manuscripts', 'manuscript', 'Manuscript', 'manuscript', 'manuscript', 'manuscripts']","['Tables', 'tables', 'Table', 'Table', 'tables', 'tables', 'tables', 'tables', 'tables', 'tables', 'Tables', 'tables', 'Table', 'Tables', 'Tables', 'tables', 'Table', 'tables', 'tables']","['words', 'words', 'words']"
https://www.elsevier.com/journals/01663542/0166-3542/guide-for-authors,8109699,[200],,[51690],[7877],,,,,,,,,,,,,,,,,,,,"['sections', 'section', 'section', 'section', 'sections', 'sections', 'section', 'section', 'section', 'section', 'section', 'section']","['manuscripts', 'manuscripts', 'manuscripts', 'manuscripts', 'Manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscripts', 'manuscripts', 'manuscripts', 'Manuscripts', 'Manuscript', 'Manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript']","['Tables', 'tables', 'table', 'tables', 'tables', 'table', 'table', 'tables', 'tables', 'Table', 'Tables', 'tables', 'Tables', 'tables', 'table', 'table', 'tables', 'table', 'table', 'tables', 'tables']","['words', 'words', 'words', 'words']"
https://www.elsevier.com/journals/0022202x/0022-202X/guide-for-authors,0426720,[200],,[68147],[10116],,,,,,,,,,,,"['CONSORT', 'CONSORT', 'CONSORT', 'CONSORT', 'consort', 'CONSORT', 'CONSORT', 'consort', 'consort', 'CONSORT']","['http://www.consort-statement.org/consort-statement/flow-diagram0/', 'http://www.consort-statement.org/checklists/view/32-consort/67-abstract', 'http://www.consort-statement.org', 'http://www.consort-statement.org/checklists/view/32-consort/67-abstract', 'http://www.consort-statement.org/checklists/view/32-consort/67-abstract']",,,,"['http://www.icmje.org/', 'http://www.icmje.org/', 'http://www.icmje.org/faq_clinical.html', 'http://www.icmje.org/recommendations/browse/publishing-and-editorial-issues/clinical-trial-registration.html#two']","['International Committee of Medical Journal Editors', 'International Committee of Medical Journal Editors', 'ICMJE', 'International Committee of Medical Journal Editors', 'ICMJE', 'ICMJE', 'ICMJE']","['http://www.icmje.org/', 'http://www.icmje.org/', 'http://www.icmje.org/faq_clinical.html', 'http://www.icmje.org/recommendations/browse/publishing-and-editorial-issues/clinical-trial-registration.html#two']","['sections', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'Sections', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section']","['Manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscripts', 'Manuscripts', 'manuscript', 'Manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscripts', 'manuscript', 'Manuscript', 'manuscript', 'manuscripts', 'Manuscripts', 'manuscript', 'Manuscripts', 'Manuscripts', 'manuscript', 'manuscripts', 'Manuscripts', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscripts', 'Manuscripts', 'Manuscripts', 'Manuscript', 'manuscript', 'Manuscript', 'manuscript', 'Manuscripts', 'Manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript']","['Tables', 'Tables', 'tables', 'table', 'tables', 'tables', 'Tables', 'Tables', 'tables', 'Tables', 'tables', 'Tables', 'tables', 'tables', 'tables', 'tables', 'Table', 'table', 'Tables', 'tables', 'Tables', 'table', 'tables', 'table', 'table', 'table', 'tables', 'table', 'tables', 'Table', 'tables', 'tables', 'table', 'table', 'tables', 'Table', 'tables', 'table', 'tables', 'TableS', 'tables', 'tables']","['words', 'words', 'words']"
https://www.elsevier.com/journals/00353787/0035-3787/guide-for-authors,2984779R,[200],,[40032],[6113],,,,,,['ARRIVE'],,,,,,,,,,,['http://www.icmje.org/recommendations/'],,['http://www.icmje.org/recommendations/'],"['section', 'section', 'section', 'sections', 'sections', 'section', 'section', 'section', 'section']","['Manuscript', 'Manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'Manuscripts', 'manuscript', 'manuscript']","['Tables', 'Tables', 'tables', 'table', 'table', 'tables', 'table', 'tables', 'tables', 'tables', 'table', 'table', 'tables', 'tables', 'Table', 'tables', 'Tables', 'tables', 'Tables', 'tables', 'table', 'table', 'tables', 'table', 'table', 'tables', 'tables']","['words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words', 'words']"
https://www.elsevier.com/journals/the-american-journal-of-surgery/0002-9610/guide-for-authors,0370473,[200],,[44597],[6757],,,,,,,,,,,,,,,,,,['International Committee of Medical Journal Editors'],,"['section', 'sections', 'section', 'section', 'section', 'section', 'section']","['manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'Manuscripts', 'MANUSCRIPTS', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscripts', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'manuscript', 'Manuscript', 'manuscripts', 'manuscript']","['Tables', 'tables', 'tables', 'tables', 'table', 'table', 'tables', 'Tables', 'Tables', 'tables', 'Tables', 'tables', 'Tables', 'tables', 'table', 'table', 'tables', 'table', 'table', 'tables', 'tables', 'tables', 'tables']","['words', 'words', 'words']"
