id,Unnamed: 0,title,languages,publisher,publication_types,mesh_headings,urls_raw,is_periodical,is_english,urls,url,cheers_matches,entreq_matches,moose_matches,cherries_matches,arrive_matches,arrive_domain_matches,care_matches,care_domain_matches,prisma_matches,coreq_matches,consort_matches,consort_domain_matches,agree_matches,agree_domain_matches,EQUATOR_matches,EQUATOR_domain_domain_matches,cheers,entreq,moose,cherries,arrive,care,prisma,coreq,consort,agree,EQUATOR,Guidelines
9015384,0,20 century British history.,['eng'],"['Oxford University Press,']",['Periodical'],"['History', 'United Kingdom']",['https://academic.oup.com/tcbh'],True,True,['https://academic.oup.com/tcbh'],https://academic.oup.com/tcbh,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
9015384,0,20 century British history.,['eng'],"['Oxford University Press,']",['Periodical'],"['History', 'United Kingdom']",['https://academic.oup.com/tcbh'],True,True,['https://academic.oup.com/tcbh'],https://academic.oup.com/tcbh/pages/general_instructions,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
9015384,0,20 century British history.,['eng'],"['Oxford University Press,']",['Periodical'],"['History', 'United Kingdom']",['https://academic.oup.com/tcbh'],True,True,['https://academic.oup.com/tcbh'],https://academic.oup.com/tcbh/pages/submission_online,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
9015384,0,20 century British history.,['eng'],"['Oxford University Press,']",['Periodical'],"['History', 'United Kingdom']",['https://academic.oup.com/tcbh'],True,True,['https://academic.oup.com/tcbh'],https://academic.oup.com/crawlprevention/governor?content=%2fjournals%2fpages%2fauthors%2fpreparing_your_manuscript%2forcid,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
101269322,2,AACN advanced critical care.,['eng'],"['Lippincott Williams & Wilkins,', 'American Association of Critical-Care Nurses (AACN)']","['Nurses Instruction', 'Periodical']","['Critical Care', 'Nursing Care']",['https://aacnjournals.org/aacnacconline'],True,True,['https://aacnjournals.org/aacnacconline'],https://aacnjournals.org/aacnacconline,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
101269322,2,AACN advanced critical care.,['eng'],"['Lippincott Williams & Wilkins,', 'American Association of Critical-Care Nurses (AACN)']","['Nurses Instruction', 'Periodical']","['Critical Care', 'Nursing Care']",['https://aacnjournals.org/aacnacconline'],True,True,['https://aacnjournals.org/aacnacconline'],https://aacnjournals.org/aacnacconline/pages/instructions_for_authors,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
0431420,3,AANA journal.,['eng'],['American Association of Nurse Anesthetists'],['Periodical'],"['Anesthesiology', 'Nursing']",['https://www.aana.com/publications/aana-journal'],True,True,['https://www.aana.com/publications/aana-journal'],https://www.aana.com/publications/aana-journal,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
101223209,4,The AAPS journal.,['eng'],"['American Association of Pharmaceutical Scientists,']",['Periodical'],"['Drug Therapy', 'Pharmaceutical Preparations', 'Technology, Pharmaceutical']","['https://link.springer.com/journal/12248', 'https://www.ncbi.nlm.nih.gov/pmc/journals/792/']",True,True,['https://link.springer.com/journal/12248'],https://www.springer.com/journal/12248,,,,,,,['CARE'],,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,True
101223209,4,The AAPS journal.,['eng'],"['American Association of Pharmaceutical Scientists,']",['Periodical'],"['Drug Therapy', 'Pharmaceutical Preparations', 'Technology, Pharmaceutical']","['https://link.springer.com/journal/12248', 'https://www.ncbi.nlm.nih.gov/pmc/journals/792/']",True,True,['https://link.springer.com/journal/12248'],https://www.springer.com/journal/12248/submission-guidelines,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
100960111,5,AAPS PharmSciTech.,['eng'],"['American Association of Pharmaceutical Scientists,', 'Springer']",['Periodical'],"['Biopharmaceutics', 'Dosage Forms', 'Drug Design', 'Drug Evaluation', 'Pharmaceutical Preparations']","['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249', 'https://www.ncbi.nlm.nih.gov/pmc/journals/793/']",True,True,"['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249']",http://www.aapspharmscitech.org/,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
100960111,5,AAPS PharmSciTech.,['eng'],"['American Association of Pharmaceutical Scientists,', 'Springer']",['Periodical'],"['Biopharmaceutics', 'Dosage Forms', 'Drug Design', 'Drug Evaluation', 'Pharmaceutical Preparations']","['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249', 'https://www.ncbi.nlm.nih.gov/pmc/journals/793/']",True,True,"['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249']",https://www.springer.com/journal/12249,,,,,,,['CARE'],,,,,,,,,,False,False,False,False,False,True,False,False,False,False,False,True
