,id,title,languages,publisher,publication_types,mesh_headings,urls_raw,is_periodical,is_english,urls
0,9015384,20 century British history.,['eng'],"['Oxford University Press,']",['Periodical'],"['History', 'United Kingdom']",['https://academic.oup.com/tcbh'],True,True,['https://academic.oup.com/tcbh']
1,101714112,A&A practice.,['eng'],"['Wolters Kluwer Health, Inc.,']",['Periodical'],['Anesthesiology'],['http://ovidsp.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&PAGE=toc&D=ovft&AN=02054229-000000000-00000'],True,True,[]
2,101269322,AACN advanced critical care.,['eng'],"['Lippincott Williams & Wilkins,', 'American Association of Critical-Care Nurses (AACN)']","['Nurses Instruction', 'Periodical']","['Critical Care', 'Nursing Care']",['https://aacnjournals.org/aacnacconline'],True,True,['https://aacnjournals.org/aacnacconline']
3,0431420,AANA journal.,['eng'],['American Association of Nurse Anesthetists'],['Periodical'],"['Anesthesiology', 'Nursing']",['https://www.aana.com/publications/aana-journal'],True,True,['https://www.aana.com/publications/aana-journal']
4,101223209,The AAPS journal.,['eng'],"['American Association of Pharmaceutical Scientists,']",['Periodical'],"['Drug Therapy', 'Pharmaceutical Preparations', 'Technology, Pharmaceutical']","['https://link.springer.com/journal/12248', 'https://www.ncbi.nlm.nih.gov/pmc/journals/792/']",True,True,['https://link.springer.com/journal/12248']
5,100960111,AAPS PharmSciTech.,['eng'],"['American Association of Pharmaceutical Scientists,', 'Springer']",['Periodical'],"['Biopharmaceutics', 'Dosage Forms', 'Drug Design', 'Drug Evaluation', 'Pharmaceutical Preparations']","['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249', 'https://www.ncbi.nlm.nih.gov/pmc/journals/793/']",True,True,"['http://www.aapspharmscitech.org/', 'https://link.springer.com/journal/12249']"
6,101674571,Abdominal radiology.,['eng'],"['Springer,']",['Periodical'],"['Abdomen', 'Diagnostic Imaging', 'Gastrointestinal Diseases \n                 diagnosis']",['https://link.springer.com/journal/261'],True,True,['https://link.springer.com/journal/261']
7,9418450,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine.,['eng'],"['Hanley & Belfus,', 'Wiley']",['Periodical'],['Emergency Medicine'],['http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712'],True,True,['http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1553-2712']
8,8904605,Academic medicine : journal of the Association of American Medical Colleges.,['eng'],"['Hanley & Belfus,', 'Published for the Association of American Medical Colleges by Lippincott Williams & Wilkins']",['Periodical'],"['Education, Medical']","['http://www.academicmedicine.org/', 'http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00001888-000000000-00000']",True,True,['http://www.academicmedicine.org/']
9,101499145,Academic pediatrics.,['eng'],['Elsevier'],['Periodical'],"['Ambulatory Care', 'Pediatrics']",['http://www.sciencedirect.com/science/journal/18762859'],True,True,['http://www.sciencedirect.com/science/journal/18762859']
